id;agente;data_hora_utc;pedido_resumido;classe;evidencia;modelo_usado;resultado;latencia_observavel;retrabalho;padrao_conhecido;ambiguidade;impacto_se_der_errado;sistemas_arquivos;reversibilidade;perfil_recomendado;confianca_recomendacao;justificativa_objetiva
23;Darth Vader;2026-07-20 18:34;Criar pacote zip NFS-e julho;financeiro;/data/.openclaw/workspace-darth-vader/entregas/nfse-julho-2026-20260720.zip;gpt-5.6-sol;concluido;N/D, resposta final nao visivel;nao;alto;baixa;alto;2-3;simples;Deterministico, sem LLM;alta;Empacotamento e comparacao com manifesto sao mecanicos. Divergencia financeira deve bloquear e escalar.
24;Darth Vader;2026-07-20 18:33;Registrar pendencias nenhuma e escopo;financeiro;/data/.openclaw/workspace-darth-vader/entregas/nfse-julho-2026-20260720/LEIA-ME.txt;gpt-5.6-sol;concluido;N/D, artefato sem resposta final;nao;alto;baixa;alto;2-3;simples;GPT-5.5 high;alta;Fechamento executivo evita envio errado de XML/boleto.
25;Robotnik;2026-07-15 11:08;Validar skills do Robotnik;conteudo/validacao;session agent:robotnik:skills-validation-20260715;gpt-5.6-sol;concluido;3s;nao;alto;baixa;baixo;1;simples;Deterministico, sem LLM;alta;Validacao curta com resultado objetivo deve usar o validador. Falha ou ambiguidade escala para Spark.
26;Robotnik;2026-07-16 17:55;Carrossel Provimento 213;conteudo;session agent:robotnik:carousel-provimento-213-20260716;gpt-5.5;falhou;2m46 ate killed, sem entrega util;indeterminado;medio;media;medio;4+;simples;GPT-5.6-Sol high;media;Midia, texto e layout tiveram sessao interrompida.
27;Robotnik;2026-07-16 17:37;Post estatico Provimento 213;conteudo;/data/.openclaw/workspace-robotnik/entregas/provimento-213-post-estatico-controle-evidencia-20260716/;N/D;concluido;N/D, artefato sem conversa pareada;indeterminado;medio;media;medio;2-3;simples;GPT-5.5 high;media;Peca unica com copy e imagem, revisao visual necessaria.
28;Robotnik;2026-07-16 18:03;Render de carrossel Provimento 213;conteudo;/data/.openclaw/workspace-robotnik/entregas/provimento-213-carrossel-controle-evidencia-v1-20260716/;N/D;concluido;N/D, artefato sem conversa pareada;indeterminado;medio;media;medio;4+;simples;GPT-5.6-Sol high;media;Multiplo asset e risco de layout.
29;Robotnik;2026-07-20;Calendario Instagram Bikon 20 a 24;conteudo;/data/.openclaw/workspace-robotnik/entregas/calendario-instagram-bikon-2026-07-20-a-24.md;N/D;concluido;N/D, artefato sem conversa pareada;indeterminado;medio;media;baixo;1;simples;GPT-5.5 high;media;Conteudo editorial com criterio de marca.
30;Robotnik;2026-07-20 19:39;Preparar prompt/QA Kling;conteudo;/data/.openclaw/workspace-robotnik/entregas/archive/bikon-operacao-sem-dependencia-20260720-noncanonical-pre-freeze/;N/D;concluido;N/D, artefato sem conversa pareada;indeterminado;medio;media;medio;2-3;simples;GPT-5.5 high;media;Pedido de midia exige limite de custo e aprovacao.
31;Robotnik;2026-07-19 23:54;Corrigir v4-01/02/03 e preservar v4-04/05;conteudo/retrabalho;session agent:robotnik:telegram:robotnik:direct:5760416853;gpt-5.6-sol;concluido;15m49s;sim, correcao posterior e v6 supersedida;medio;media;medio;4+;simples;GPT-5.6-Sol high;alta;Havia colisao/overlap e controle de hashes preservados.
32;Robotnik;2026-07-23 13:52;Interromper operacao e remover crons pendentes;operacao;session agent:robotnik:telegram:robotnik:direct:5760416853;gpt-5.6-sol;concluido;N/D, pedido nao visivel neste recorte;nao;medio;media;alto;2-3;moderada;GPT-5.6-Sol max;media;Cron e rota exigem gate, ainda que remocao seja reversivel.
33;Sentinel;2026-07-15;Preparar NinjaOne read-only;operacao;/data/.openclaw/workspace-sentinel/logs/alteracoes/2026-07-15-ninjaone-readonly.md;N/D;concluido;N/D, artefato sem conversa pareada;indeterminado;medio;media;alto;2-3;moderada;GPT-5.6-Sol high;media;Integra fonte operacional sem permissao de escrita.
34;Sentinel;2026-07-15;Preparar ARX/Cove read-only;operacao;/data/.openclaw/workspace-sentinel/logs/alteracoes/2026-07-15-arx-cove-readonly.md;N/D;concluido;N/D, artefato sem conversa pareada;indeterminado;medio;media;alto;2-3;moderada;GPT-5.6-Sol high;media;Backup e contrato de leitura sensiveis.
35;Sentinel;2026-07-16;Preparar Bitdefender read-only;operacao;/data/.openclaw/workspace-sentinel/logs/alteracoes/2026-07-16-bitdefender-readonly.md;N/D;concluido;N/D, artefato sem conversa pareada;indeterminado;medio;media;alto;2-3;moderada;GPT-5.6-Sol high;media;Seguranca endpoint, segredo e leitura controlada.
36;Sentinel;2026-07-16 20:06;Corrigir e validar logs gateway read-only;diagnostico;/data/.openclaw/workspace-sentinel/backups/gateway-env-dropin-20260716T200153Z/evidence/RESTART_RESULT.log;N/D;concluido;N/D, artefato sem conversa pareada;indeterminado;medio;alta;critico;4+;dificil;GPT-5.6-Sol max;alta;Gateway/servico proprio exige backup, rollback e validacao.
37;Sentinel;2026-07-16;Controle de auditoria de acesso;governanca;/data/.openclaw/workspace-sentinel/logs/alteracoes/2026-07-16-controle-auditoria-acesso.md;N/D;concluido;N/D, artefato sem conversa pareada;indeterminado;medio;media;alto;2-3;moderada;GPT-5.6-Sol max;media;Governanca de acesso afeta confiabilidade operacional.
38;Sentinel;2026-07-16 21:31;Canario Sentinel v1 read-only 24h;operacao;/data/.openclaw/workspace-sentinel/backups/sentinel-canary-20260716T212055Z/evidence/BASELINE.md;gpt-5.6-sol;concluido;N/D, cron/canario sem conversa pareada;indeterminado;medio;media;alto;4+;moderada;GPT-5.6-Sol high;media;Cinco fontes e cadencia operacional, sem escrita.
39;Sentinel;2026-07-20 13:02;Canario v2 iniciado e pausado por ARX P2;operacao/bloqueio;/data/.openclaw/workspace-sentinel/backups/sentinel-canary-v2-20260720T125347Z/evidence/RESULT.md + closed 20260721;gpt-5.6-sol;bloqueado;N/D, evento operacional sem conversa pareada;sim, nova tentativa v2 aprovada depois;medio;media;critico;4+;moderada;GPT-5.6-Sol max;alta;P2 impede 24x7 e nao permite fallback silencioso.
40;Sentinel;2026-07-23 14:22;Explicar lacunas e criterios para nova janela v2;operacao;session agent:sentinel:main;gpt-5.6-sol;parcial;2m41s no trecho visivel;nao;medio;media;alto;4+;moderada;GPT-5.6-Sol high;alta;Classificacao provisoria, criterios G1-G5 e janela ativa exigem rigor.
